Actors,Awards,BoxOffice,Country,DVD,Director,Error,Genre,Language,Metascore,Plot,Poster,Production,Rated,Ratings,Released,Response,Runtime,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes,totalSeasons,Ratings.Internet Movie Database,Ratings.Rotten Tomatoes,Ratings.Metacritic
"Ed Harris, Clifton Collins Jr., Amanda Crew, Joanne Froggatt",,,USA,,Trevor White,,"Comedy, Thriller",English,,An attention-seeking psychic is kidnapped and tries to use the situation to boost his popularity.,,,,[],,TRUE,,A Crooked Somebody,movie,,Andrew Zilch,2017,tt5922124,,,,-1,-1,-1
"Steve Rubell, Ian Schrager",,,USA,,Matt Tyrnauer,,Documentary,English,76,"Studio 54 was the epicenter of 70s hedonism--a place that not only redefined the nightclub, but also came to symbolize and entire era. Its co-owners, Ian Schrager and Steve Rubell, two friends from Brooklyn, seemed to come out of nowhere to suddenly preside over a new kind of New York society. Now, 39 years after the velvet rope was first slung across the club's hallowed threshold, a feature documentary tells the real story behind the greatest club of all time.",https://m.media-amazon.com/images/M/MV5BZGM4ZDE1NTgtYmYyYS00YmEyLThhYmMtZWQ0MWQ2NGIyMjBkXkEyXkFqcGdeQXVyMjI3NDAyNg@@._V1_SX300.jpg,Zeitgeist Films,,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '76/100'}]",5-Oct-18,TRUE,98 min,Studio 54,movie,https://www.studio54doc.com/,,2018,tt5773986,6.9,284,,0.69,0.92,0.76
"Mohammad Bakri, Saleh Bakri, Maria Zreik",5 wins & 3 nominations.,,"Palestine, France",,Annemarie Jacir,,Drama,Arabic,,"A father and his estranged son must come together to hand deliver his daughter's wedding invitations to each guest as per local Palestinian custom, in this rousing family drama from Annemarie Jacir (When I Saw You).",https://images-na.ssl-images-amazon.com/images/M/MV5BOWJhYTkyMjYtMzQxZC00MTljLWEyMmUtNGE1OTFlMTRlNGRlXkEyXkFqcGdeQXVyNDY2NDMxNDY@._V1_SX300.jpg,,,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",5-Aug-17,TRUE,96 min,Wajib,movie,,Annemarie Jacir,2017,tt6695212,7.6,26,,0.76,1,-1
"Dasha Nekrasova, Jack Kilmer, Caroline Hebert, Nick Corirossi",,,USA,,Eugene Kotlyarenko,,"Comedy, Drama, Romance",English,,A couple on the verge of a nervous break-up decide to split their home over the weekend and test the waters of independence.,,,,[],,TRUE,86 min,Wobble Palace,movie,,"Eugene Kotlyarenko (story by), Dasha Nekrasova (story by)",2017,tt7355708,,,,-1,-1,-1
"David Bradley, Holly Weston, Sam Gittins, Abigail Cruttenden",,,UK,5-Oct-18,Johnny Kevorkian,,"Horror, Mystery, Sci-Fi",English,,"It's Christmas Day and the Milgram family wake to find a mysterious black substance surrounding their house. Something monumental is clearly happening right outside their door, but what exactly - an industrial accident, a terrorist attack, nuclear war? Descending into terrified arguments, they turn on the television, desperate for any information. On screen a message glows ominously: 'Stay Indoors and Await Further Instructions'. As the television exerts an ever more sinister grip, their paranoia escalates into bloody carnage.",https://m.media-amazon.com/images/M/MV5BNWM0MTQzOGQtZTYyNS00MzYyLTg4NzMtZDk5YjY5MGU2YzhjXkEyXkFqcGdeQXVyMzY0MTE3NzU@._V1_SX300.jpg,Dark Sky Films,,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",5-Oct-18,TRUE,91 min,Await Further Instructions,movie,,Gavin Williams,2018,tt4971408,6.1,106,,0.61,1,-1
"Amir Aghaee, Farhad Aslani, Atila Pesiani, Hanie Tavassoli",1 win.,,Iran,,Hossein FarahBakhsh,,"Drama, Thriller",Persian,,It is about a man who claims to be religious but uses religion to do against morals and his martial life and his affair with another woman.,https://m.media-amazon.com/images/M/MV5BZThkNzMyZGQtNzM0ZS00MThkLWI2MzUtYmJiOWUyZDc0ODkyXkEyXkFqcGdeQXVyNjkxOTM4ODY@._V1_SX300.jpg,,,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}]",10-Mar-12,TRUE,90 min,Private Life,movie,,Asghar Naimi,2012,tt3212670,5.6,251,,0.56,-1,-1
"Tom Hardy, Michelle Williams, Riz Ahmed, Scott Haze",,,USA,18-Jun-13,Ruben Fleischer,,"Action, Horror, Sci-Fi",English,35,"When Eddie Brock acquires the powers of a symbiote, he will have to release his alter-ego ""Venom"" to save his life.",https://m.media-amazon.com/images/M/MV5BNzAwNzUzNjY4MV5BMl5BanBnXkFtZTgwMTQ5MzM0NjM@._V1_SX300.jpg,Vis,,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Metacritic', 'Value': '35/100'}]",5-Oct-18,TRUE,112 min,Venom,movie,,"Jeff Pinkner (screenplay by), Scott Rosenberg (screenplay by), Kelly Marcel (screenplay by), Jeff Pinkner (screen story by), Scott Rosenberg (screen story by), Todd McFarlane (Marvel's Venom Character created by), David Michelinie (Marvel's Venom Character created by)",2018,tt1270797,7.1,"22,950",,0.71,-1,0.35
"Cuba Gooding Jr., Famke Janssen, Richard Dreyfuss, Lia Marie Johnson",,,USA,,Cuba Gooding Jr.,,Drama,English,,"A feared Russian-Israeli oligarch's banishment from the U.S. sets into motion a spiraling chain of events involving a boxer, a plot to blackmail an Orthodox Jewish real estate developer, a Hollywood sex scandal and copious amounts of gefilte caviar.",https://m.media-amazon.com/images/M/MV5BMjM3NTAyMjgzNF5BMl5BanBnXkFtZTgwMTkyMjQyNjM@._V1_SX300.jpg,Gravitas Ventures,,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]",5-Oct-18,TRUE,111 min,Bayou Caviar,movie,,"Eitan Gorlin, Cuba Gooding Jr.",2018,tt3767278,6.2,9,,0.62,-1,-1
,,,,,,,Documentary,English,,"ABOVE AND BEYOND: NASA'S Journey To Tomorrow examines the remarkable role NASA plays both in our country and for our planet. Covering sixty years and beyond, the film celebrates past ...",,,,[],,TRUE,,Above and Beyond: NASA's Journey To Tomorrow,movie,,"Mark Bailey, Don Kleszy",2018,tt6903296,,,,-1,-1,-1
"Geoffrey Rush, Justin Braine, Sonia Todd, Chris Haywood",Won 1 Oscar. Another 45 wins & 51 nominations.,,Australia,15-Jul-97,Scott Hicks,,"Biography, Drama, Music","English, Yiddish",87,"As a child piano prodigy, David Helfgott's musical ambitions generate friction with his overbearing father, Peter. When Helfgott travels to London on a musical scholarship, his career as a pianist blossoms. However, the pressures of his newfound fame, coupled with the echoes of his tumultuous childhood, conspire to bring Helfgott's latent schizophrenia boiling to the surface, and he spends years in and out of various mental institutions.",https://m.media-amazon.com/images/M/MV5BMTQzMzcxMzUyMl5BMl5BanBnXkFtZTgwNDI1MjgxMTE@._V1_SX300.jpg,New Line Home Entertainment,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '87/100'}]",14-Feb-97,TRUE,105 min,Shine,movie,,"Jan Sardi (screenplay), Scott Hicks (story)",1996,tt0117631,7.7,"47,169",,0.77,0.91,0.87
